ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779568769838.868,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.151740,-0.085679,0.219909,0.677535,-0.281957,0.511554,-0.446938
1779568769872.201,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769905.535,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769938.868,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769972.201,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568770005.535,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568770038.868,1,0,1,0.269380,0.015232,0.199766,0.765268,-0.571058,0.064029,0.290102,1,1,1,-0.153044,-0.086831,0.217738,-0.323242,0.326559,-0.666937,0.586574
1779568770072.201,1,0,1,0.271152,0.014179,0.201635,-0.732090,0.295986,-0.612325,0.038656,1,1,-1,-0.154983,-0.083930,0.212846,-0.191925,0.459564,-0.490693,0.714973
1779568770105.535,1,0,0,0.271823,0.014557,0.204151,0.893640,0.154652,-0.409467,-0.099128,1,1,-1,-0.157094,-0.080719,0.207500,-0.036476,0.562253,-0.249794,0.787493
1779568770138.868,1,0,1,0.270348,0.015843,0.203272,0.902084,-0.319334,0.215150,0.194888,1,1,0,-0.159206,-0.077508,0.202154,0.122546,0.609840,0.015583,0.782838
1779568770172.201,1,0,1,0.270713,0.017709,0.203596,0.717892,-0.557642,0.400402,0.115521,1,0,0,-0.150697,-0.087889,0.220090,-0.008795,0.723907,-0.109982,0.681017
1779568770205.535,1,0,0,0.269692,0.018645,0.202643,0.867637,-0.020703,-0.493235,0.059129,1,1,-1,-0.150191,-0.089480,0.222133,-0.033821,0.784657,-0.103579,0.610280
1779568770238.868,1,0,1,0.270794,0.019708,0.203108,0.778200,-0.577820,0.092981,0.227779,1,1,0,-0.151055,-0.089530,0.221414,-0.037331,0.834485,-0.069961,0.545296
1779568770272.201,1,0,1,0.272954,0.020429,0.202183,0.584040,-0.717760,0.144497,0.350483,1,0,0,-0.151885,-0.089475,0.218045,0.028226,0.535916,-0.221989,0.814075
1779568770305.535,1,0,1,0.271702,0.022853,0.201051,-0.654158,0.660222,-0.329791,-0.165597,1,1,-1,-0.151275,-0.092119,0.218169,0.035014,0.455589,-0.226677,0.860134
1779568770338.868,1,0,1,0.273427,0.023998,0.199549,0.672684,-0.631710,0.357709,0.143118,1,1,0,-0.150429,-0.095210,0.218939,0.030478,0.434043,-0.205991,0.876496
1779568770372.201,1,0,1,0.272541,0.024818,0.202928,0.677445,-0.660638,0.240851,0.215912,1,0,0,-0.150300,-0.095467,0.219252,-0.023750,0.366927,-0.248415,0.896153
1779568770405.535,1,0,1,0.274434,0.024991,0.201308,0.553490,-0.738230,0.186986,0.337195,1,0,0,-0.151018,-0.095641,0.217139,0.014424,0.407624,-0.258200,0.875767
1779568770438.868,1,0,1,0.273826,0.025586,0.201270,-0.599012,0.711861,-0.162410,-0.328729,1,0,0,-0.150283,-0.098131,0.214963,-0.026305,0.309203,-0.282288,0.907753
1779568770472.201,1,0,1,0.277660,0.024785,0.201390,-0.665737,0.668379,-0.043880,-0.328846,1,0,0,-0.147430,-0.100614,0.218812,-0.030437,0.301466,-0.262152,0.916225
1779568770505.535,1,0,1,0.276289,0.025828,0.200501,0.467787,-0.788356,0.158395,0.366852,1,0,0,-0.147327,-0.101609,0.219987,-0.077712,0.264811,-0.281954,0.918879
1779568770538.868,1,0,1,0.275543,0.027759,0.200512,-0.609433,0.708878,-0.267161,-0.233899,1,0,0,-0.143797,-0.107299,0.219989,0.161344,0.512633,-0.303124,0.786951
1779568770572.201,1,0,0,0.275016,0.028735,0.200171,-0.752504,-0.075274,0.644290,0.113850,1,0,0,-0.142968,-0.107130,0.228186,-0.040832,0.462185,-0.113257,0.878573
1779568770605.535,1,0,1,0.275219,0.029675,0.202207,-0.769986,0.570627,-0.275042,-0.076540,1,0,0,-0.141798,-0.109673,0.223553,0.070156,0.503457,-0.203796,0.836706
