ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779568769838.868,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.153502,-0.084006,0.220853,0.677535,-0.281957,0.511554,-0.446938,-0.151740,-0.085679,0.219909
1779568769872.201,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769905.535,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769938.868,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568769972.201,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568770005.535,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779568770038.868,1,0,1,0.269827,0.009245,0.200958,0.765268,-0.571058,0.064029,0.290102,0.269380,0.015232,0.199766,1,1,1,-0.151735,-0.088484,0.221049,0.630180,-0.384383,0.454883,-0.498201,-0.153044,-0.086831,0.217738
1779568770072.201,1,0,1,0.270107,0.010665,0.201033,0.748619,-0.588646,0.075619,0.295546,0.271152,0.014179,0.201635,1,1,-1,-0.151427,-0.089287,0.221086,0.621122,-0.400809,0.444586,-0.505868,-0.154983,-0.083930,0.212846
1779568770105.535,1,0,0,0.270406,0.012075,0.201106,0.731408,-0.605794,0.087152,0.300768,0.271823,0.014557,0.204151,1,1,-1,-0.151116,-0.090104,0.221124,0.611743,-0.417029,0.434058,-0.513274,-0.157094,-0.080719,0.207500
1779568770138.868,1,0,1,0.270722,0.013476,0.201177,0.713648,-0.622486,0.098620,0.305764,0.270348,0.015843,0.203272,1,1,0,-0.150801,-0.090938,0.221163,0.602049,-0.433033,0.423307,-0.520415,-0.159206,-0.077508,0.202154
