ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779153048993.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.052300,-0.182273,0.259545,0.196591,-0.285703,-0.777417,0.524734
1779153049026.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049060.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049093.473,1,0,0,0.031475,0.246265,0.264681,0.692703,0.219844,-0.149578,0.670416,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049126.806,1,0,0,0.033220,0.245842,0.267670,0.685496,0.211999,-0.147997,0.680624,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049160.140,1,0,0,0.033486,0.245067,0.269574,0.693227,0.208306,-0.138543,0.675908,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049193.473,1,0,0,0.032892,0.244231,0.271526,0.707959,0.210040,-0.144034,0.658735,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049226.806,1,0,0,0.033067,0.244066,0.272937,0.701951,0.210696,-0.143435,0.665056,1,0,0,-0.126453,-0.207530,0.296232,-0.338939,0.029521,0.261179,0.903346
1779153049260.140,1,0,0,0.032897,0.244207,0.273275,0.704246,0.211295,-0.124590,0.666235,1,0,0,-0.123478,-0.202203,0.303992,-0.159409,0.134544,0.242725,0.947402
1779153049293.473,1,0,0,0.033366,0.243722,0.275381,0.711979,0.211186,-0.143445,0.654148,1,1,0,-0.105057,-0.198656,0.299861,-0.181914,-0.010248,0.021706,0.983022
1779153049326.806,1,0,0,0.034664,0.243812,0.277257,0.702859,0.206947,-0.145897,0.664738,1,1,-1,-0.086431,-0.195141,0.295559,-0.194238,-0.157889,-0.203551,0.946525
1779153049360.140,1,0,0,0.035631,0.243940,0.277889,0.720304,0.218542,-0.137573,0.643797,1,1,0,-0.067806,-0.191626,0.291258,-0.192184,-0.293844,-0.413742,0.839964
1779153049393.473,1,0,0,0.035738,0.243828,0.279810,0.709908,0.212174,-0.134461,0.657977,1,1,0,-0.049180,-0.188110,0.286957,-0.175904,-0.408047,-0.593305,0.671226
1779153049426.806,1,0,0,0.037119,0.243505,0.282197,0.716047,0.217334,-0.145102,0.647292,1,1,1,-0.030555,-0.184595,0.282656,-0.146604,-0.492045,-0.728950,0.452804
1779153049460.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.114287,-0.215181,0.284280,0.502753,-0.015536,-0.297825,-0.811356
1779153049493.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.033240,-0.185796,0.281451,-0.169243,-0.472853,-0.725106,0.471157
1779153049526.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.063036,-0.179990,0.288351,0.044659,-0.086554,-0.081597,-0.991895
1779153049560.140,1,0,0,0.036826,0.240912,0.283593,0.712365,0.202151,-0.135453,0.658273,1,0,1,-0.032365,-0.183041,0.284679,-0.112923,-0.503124,-0.711743,0.477008
1779153049593.473,1,0,0,0.038877,0.240130,0.283893,0.702084,0.202161,-0.140757,0.668129,1,0,1,-0.031568,-0.182844,0.281614,0.120839,0.499664,0.730173,-0.450090
1779153049626.806,1,0,0,0.039565,0.240453,0.284590,0.682733,0.199457,-0.146634,0.687452,1,0,0,-0.123162,-0.210978,0.290290,0.435647,0.001139,-0.293298,-0.850992
1779153049660.140,1,0,0,0.039525,0.238847,0.285092,0.706651,0.192074,-0.161535,0.661557,1,0,1,-0.034566,-0.184936,0.280675,-0.147353,-0.490006,-0.713655,0.478411
1779153049693.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
