ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779153048993.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.051381,-0.188477,0.291107,0.196591,-0.285703,-0.777417,0.524734,-0.052300,-0.182273,0.259545
1779153049026.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049060.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049093.473,1,0,0,0.043768,0.246974,0.259840,0.692703,0.219844,-0.149578,0.670416,0.031475,0.246265,0.264681,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049126.806,1,0,0,0.044663,0.246961,0.262428,0.691544,0.222969,-0.154959,0.669357,0.033220,0.245842,0.267670,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049160.140,1,0,0,0.045498,0.246919,0.264820,0.690357,0.226085,-0.160333,0.668271,0.033486,0.245067,0.269574,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049193.473,1,0,0,0.046275,0.246846,0.267024,0.689142,0.229191,-0.165701,0.667157,0.032892,0.244231,0.271526,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049226.806,1,0,0,0.046997,0.246744,0.269049,0.687898,0.232288,-0.171062,0.666015,0.033067,0.244066,0.272937,1,0,0,-0.127750,-0.206070,0.289845,-0.051524,-0.304730,-0.573645,0.758562,-0.126453,-0.207530,0.296232
1779153049260.140,1,0,0,0.047667,0.246613,0.270903,0.686626,0.235376,-0.176415,0.664846,0.032897,0.244207,0.273275,1,0,0,-0.121055,-0.201024,0.290645,-0.087233,-0.303489,-0.536169,0.782820,-0.123478,-0.202203,0.303992
1779153049293.473,1,0,0,0.048287,0.246454,0.272595,0.685326,0.238454,-0.181762,0.663650,0.033366,0.243722,0.275381,1,1,0,-0.107218,-0.196245,0.291188,-0.122655,-0.301255,-0.496940,0.804519,-0.105057,-0.198656,0.299861
1779153049326.806,1,0,0,0.048860,0.246266,0.274132,0.683997,0.241522,-0.187101,0.662426,0.034664,0.243812,0.277257,1,1,-1,-0.086965,-0.192459,0.291349,-0.157677,-0.298037,-0.456087,0.823588,-0.086431,-0.195141,0.295559
1779153049360.140,1,0,0,0.049389,0.246050,0.275525,0.682641,0.244580,-0.192432,0.661175,0.035631,0.243940,0.277889,1,1,0,-0.067581,-0.190430,0.291189,-0.192184,-0.293844,-0.413742,0.839964,-0.067806,-0.191626,0.291258
1779153049393.473,1,0,0,0.049878,0.245806,0.276780,0.681256,0.247628,-0.197756,0.659897,0.035738,0.243828,0.279810,1,1,0,-0.047015,-0.190931,0.290497,-0.182296,-0.294206,-0.422382,0.837738,-0.049180,-0.188110,0.286957
1779153049426.806,1,0,0,0.050328,0.245535,0.277906,0.679843,0.250666,-0.203071,0.658591,0.037119,0.243505,0.282197,1,1,1,-0.034542,-0.195043,0.289327,-0.172375,-0.294515,-0.430947,0.835364,-0.030555,-0.184595,0.282656
1779153049460.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.108913,-0.200347,0.290428,-0.162424,-0.294772,-0.439436,0.832841,-0.114287,-0.215181,0.284280
1779153049493.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.037737,-0.193494,0.289725,-0.152444,-0.294976,-0.447847,0.830170,-0.033240,-0.185796,0.281451
1779153049526.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.060153,-0.184450,0.292153,-0.142437,-0.295128,-0.456178,0.827353,-0.063036,-0.179990,0.288351
1779153049560.140,1,0,0,0.051804,0.244187,0.281294,0.673912,0.262713,-0.224246,0.653099,0.036826,0.240912,0.283593,1,0,1,-0.032065,-0.181740,0.291876,-0.132405,-0.295228,-0.464429,0.824388,-0.032365,-0.183041,0.284679
1779153049593.473,1,0,0,0.052106,0.243785,0.281904,0.672360,0.265698,-0.229517,0.651659,0.038877,0.240130,0.283893,1,0,1,-0.033927,-0.189863,0.290330,-0.122349,-0.295275,-0.472596,0.821277,-0.031568,-0.182844,0.281614
