ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779153048993.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.125588,-0.194744,0.287202,0.196591,-0.285703,-0.777417,0.524734
1779153049026.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049060.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049093.473,1,0,0,-0.069465,0.279765,0.302375,0.692703,0.219844,-0.149578,0.670416,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049126.806,1,0,0,-0.070552,0.279812,0.303944,0.685496,0.211999,-0.147997,0.680624,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049160.140,1,0,0,-0.069714,0.279576,0.305115,0.693227,0.208306,-0.138543,0.675908,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049193.473,1,0,0,-0.069107,0.278656,0.306876,0.707959,0.210040,-0.144034,0.658735,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049226.806,1,0,0,-0.070554,0.278714,0.308664,0.701951,0.210696,-0.143435,0.665056,1,0,0,-0.116303,-0.207848,0.296699,-0.338939,0.029521,0.261179,0.903346
1779153049260.140,1,0,0,-0.068696,0.278099,0.308889,0.704246,0.211295,-0.124590,0.666235,1,1,0,-0.125110,-0.210492,0.294645,-0.412148,0.025219,0.231983,0.880728
1779153049293.473,1,0,0,-0.070490,0.278667,0.310654,0.711979,0.211186,-0.143445,0.654148,1,1,0,-0.134185,-0.213119,0.292633,-0.474417,0.023230,0.192279,0.858730
1779153049326.806,1,0,0,-0.068775,0.279298,0.311499,0.702859,0.206947,-0.145897,0.664738,1,1,-1,-0.132140,-0.214091,0.292566,-0.491620,-0.012271,0.189455,0.849862
1779153049360.140,1,0,0,-0.067887,0.278782,0.312931,0.720304,0.218542,-0.137573,0.643797,1,1,0,-0.129916,-0.215036,0.292531,-0.507310,-0.048294,0.186928,0.839859
1779153049393.473,1,0,0,-0.068063,0.279120,0.314368,0.709908,0.212174,-0.134461,0.657977,1,0,0,-0.126851,-0.214535,0.292230,-0.517852,-0.031583,0.236565,0.821504
1779153049426.806,1,0,0,-0.068381,0.279185,0.314712,0.716047,0.217334,-0.145102,0.647292,1,0,1,-0.135515,-0.210873,0.298623,-0.159990,-0.490061,-0.717783,0.468007
1779153049460.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.130292,-0.212603,0.293254,0.502753,-0.015536,-0.297825,-0.811356
1779153049493.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.135024,-0.210947,0.297362,-0.169243,-0.472853,-0.725106,0.471157
1779153049526.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.123418,-0.212979,0.290324,0.044659,-0.086554,-0.081597,-0.991895
1779153049560.140,1,0,0,-0.066266,0.277897,0.317401,0.712365,0.202151,-0.135453,0.658273,1,0,1,-0.133553,-0.210844,0.296783,-0.112923,-0.503124,-0.711743,0.477008
1779153049593.473,1,0,0,-0.065780,0.277976,0.316925,0.702084,0.202161,-0.140757,0.668129,1,0,1,-0.131364,-0.210400,0.296161,0.120839,0.499664,0.730173,-0.450090
1779153049626.806,1,0,0,-0.065286,0.277735,0.317485,0.682733,0.199457,-0.146634,0.687452,1,0,0,-0.083782,-0.195641,0.276518,0.435647,0.001139,-0.293298,-0.850992
1779153049660.140,1,0,0,-0.065465,0.277926,0.318338,0.706651,0.192074,-0.161535,0.661557,1,0,1,-0.130062,-0.209512,0.294819,-0.147353,-0.490006,-0.713655,0.478411
1779153049693.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049726.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049760.140,1,0,0,-0.062843,0.280258,0.320004,0.685748,0.186174,-0.164169,0.684206,1,1,0,-0.130924,-0.211445,0.293735,0.131027,0.501088,0.736215,-0.435580
1779153049793.473,1,0,0,-0.061723,0.281673,0.320353,0.688008,0.186695,-0.174871,0.679124,1,1,1,-0.130487,-0.211585,0.293933,0.154204,0.469681,0.751438,-0.436992
1779153049826.806,1,0,0,-0.058355,0.282178,0.319839,0.695685,0.187473,-0.185781,0.668103,1,0,1,-0.129492,-0.213279,0.292997,0.128289,0.491471,0.738274,-0.443791
1779153049860.140,1,0,0,-0.056226,0.281831,0.320347,0.687911,0.193694,-0.192394,0.672492,1,0,1,-0.127764,-0.213154,0.292905,0.129743,0.503378,0.727434,-0.447903
1779153049893.473,1,0,0,-0.055410,0.280992,0.321058,0.673061,0.209590,-0.204855,0.679040,1,0,1,-0.125399,-0.213594,0.292679,0.127802,0.495693,0.725028,-0.460749
1779153049926.806,1,0,0,-0.054639,0.280021,0.321347,0.668462,0.222187,-0.227580,0.672308,1,0,0,-0.112314,-0.212680,0.289669,0.512322,0.004849,-0.375433,-0.772368
1779153049960.140,1,0,0,-0.053523,0.278294,0.322121,0.675797,0.233036,-0.234314,0.658855,1,0,0,-0.084229,-0.201547,0.275413,-0.469311,-0.137708,0.210410,0.846470
1779153049993.473,1,0,0,-0.052662,0.276549,0.323178,0.677714,0.249272,-0.249278,0.645312,1,0,1,-0.123376,-0.212637,0.294330,-0.187916,-0.464055,-0.704861,0.502505
1779153050026.806,1,0,0,-0.051062,0.275517,0.323570,0.672048,0.265246,-0.264110,0.638938,1,1,0,-0.116054,-0.212760,0.293765,0.372267,0.330266,0.309413,-0.810312
1779153050060.140,1,0,0,-0.048653,0.275031,0.323383,0.668327,0.282086,-0.272891,0.631900,1,1,0,-0.106807,-0.212418,0.292385,-0.444570,-0.067055,0.239125,0.860628
1779153050093.473,1,0,0,-0.046374,0.275540,0.322979,0.658736,0.300553,-0.293132,0.624346,1,0,1,-0.122980,-0.214483,0.296092,-0.176122,-0.497973,-0.696817,0.485232
1779153050126.806,1,0,0,-0.044677,0.276898,0.322528,0.643805,0.311887,-0.312425,0.625006,1,0,1,-0.122084,-0.214468,0.295989,0.161792,0.512444,0.715102,-0.447049
1779153050160.140,1,0,0,-0.044404,0.277831,0.322335,0.636761,0.315792,-0.326433,0.623099,1,0,1,-0.122956,-0.214981,0.296290,0.135388,0.545649,0.699805,-0.440692
1779153050193.473,1,0,0,-0.043735,0.277875,0.322150,0.635263,0.316984,-0.325689,0.624411,1,0,0,-0.117647,-0.217024,0.292188,0.562144,0.088607,-0.354958,-0.741720
1779153050226.806,1,0,0,-0.042558,0.277908,0.322164,0.632532,0.318069,-0.331607,0.623516,1,0,1,-0.119883,-0.215951,0.295954,-0.164715,-0.506369,-0.683532,0.499242
1779153050260.140,1,0,0,-0.043119,0.278424,0.322167,0.633167,0.315837,-0.338001,0.620566,1,0,1,-0.120498,-0.215705,0.295910,0.123467,0.516707,0.707301,-0.466364
1779153050293.473,1,0,0,-0.040788,0.277353,0.320962,0.664018,0.304521,-0.313635,0.606614,1,0,1,-0.118788,-0.215123,0.294711,0.114830,0.519507,0.697285,-0.480333
1779153050326.806,1,0,0,-0.040509,0.276981,0.320746,0.656669,0.302230,-0.302031,0.621466,1,0,1,-0.119838,-0.215249,0.295203,0.141914,0.502929,0.708328,-0.474546
1779153050360.140,1,0,0,-0.039147,0.275424,0.319604,0.687393,0.264096,-0.274947,0.618181,1,0,1,-0.117706,-0.215613,0.293436,0.125370,0.529732,0.699031,-0.463704
1779153050393.473,1,0,0,-0.038497,0.274929,0.319186,0.718856,0.208854,-0.219776,0.625559,1,0,0,-0.099575,-0.216130,0.289722,0.339819,0.020113,-0.249445,-0.906585
1779153050426.806,1,0,0,-0.038802,0.273796,0.319246,0.707880,0.193176,-0.188797,0.652644,1,0,0,-0.112725,-0.218889,0.293224,-0.611558,-0.198103,0.347626,0.682575
1779153050460.140,1,0,0,-0.037532,0.273417,0.318621,0.738038,0.159512,-0.138648,0.640806,1,0,0,-0.104884,-0.216718,0.294350,-0.579519,-0.116928,0.372216,0.715501
1779153050493.473,1,0,0,-0.034499,0.271729,0.318937,0.726183,0.151701,-0.113476,0.660884,1,0,0,-0.105250,-0.218485,0.295893,-0.439966,-0.039823,0.301202,0.845057
1779153050526.806,1,0,0,-0.035743,0.272137,0.319762,0.700871,0.149947,-0.110070,0.688607,1,0,1,-0.116753,-0.222181,0.298218,-0.151628,-0.530277,-0.670037,0.496855
1779153050560.140,1,0,0,-0.034315,0.270193,0.320663,0.704642,0.163715,-0.100090,0.683125,1,0,1,-0.120019,-0.224266,0.298811,0.144826,0.521583,0.713789,-0.444388
1779153050593.473,1,0,0,-0.032323,0.269056,0.321489,0.747097,0.142684,-0.118726,0.638272,1,0,0,-0.128712,-0.221139,0.309452,-0.142853,0.073627,0.457299,-0.874671
1779153050626.806,1,0,0,-0.032831,0.268594,0.322873,0.789051,0.128097,-0.135663,0.585308,1,0,0,-0.124485,-0.223118,0.309667,0.154033,-0.362959,-0.726024,0.563403
1779153050660.140,1,0,0,-0.030525,0.267939,0.324517,0.778445,0.138292,-0.137071,0.596750,1,1,-1,-0.127538,-0.223643,0.313759,0.201074,-0.269499,-0.682521,0.648926
