ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779153048993.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.116834,-0.213393,0.300547,0.196591,-0.285703,-0.777417,0.524734,-0.125588,-0.194744,0.287202
1779153049026.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049060.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049093.473,1,0,0,-0.057930,0.291228,0.307537,0.692703,0.219844,-0.149578,0.670416,-0.069465,0.279765,0.302375,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049126.806,1,0,0,-0.057889,0.290668,0.307293,0.695780,0.217305,-0.148926,0.668199,-0.070552,0.279812,0.303944,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049160.140,1,0,0,-0.057837,0.290091,0.307066,0.698842,0.214762,-0.148269,0.665968,-0.069714,0.279576,0.305115,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049193.473,1,0,0,-0.057774,0.289500,0.306857,0.701890,0.212214,-0.147610,0.663722,-0.069107,0.278656,0.306876,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049226.806,1,0,0,-0.057700,0.288893,0.306669,0.704923,0.209661,-0.146948,0.661462,-0.070554,0.278714,0.308664,1,0,0,-0.124461,-0.215701,0.302404,0.096560,-0.286065,-0.762727,0.571918,-0.116303,-0.207848,0.296699
1779153049260.140,1,0,0,-0.057614,0.288273,0.306505,0.707940,0.207104,-0.146282,0.659189,-0.068696,0.278099,0.308889,1,1,0,-0.124914,-0.215910,0.302482,0.082142,-0.285826,-0.759848,0.578089,-0.125110,-0.210492,0.294645
1779153049293.473,1,0,0,-0.057515,0.287640,0.306365,0.710943,0.204543,-0.145614,0.656901,-0.070490,0.278667,0.310654,1,1,0,-0.125227,-0.216092,0.302520,0.067704,-0.285514,-0.756775,0.584114,-0.134185,-0.213119,0.292633
1779153049326.806,1,0,0,-0.057402,0.286994,0.306252,0.713931,0.201978,-0.144942,0.654599,-0.068775,0.279298,0.311499,1,1,-1,-0.125406,-0.216247,0.302518,0.053248,-0.285129,-0.753510,0.589991,-0.132140,-0.214091,0.292566
1779153049360.140,1,0,0,-0.057275,0.286337,0.306168,0.716903,0.199408,-0.144267,0.652283,-0.067887,0.278782,0.312931,1,1,0,-0.125456,-0.216376,0.302480,0.038778,-0.284672,-0.750053,0.595717,-0.129916,-0.215036,0.292531
1779153049393.473,1,0,0,-0.057134,0.285669,0.306116,0.719860,0.196833,-0.143589,0.649954,-0.068063,0.279120,0.314368,1,0,0,-0.125386,-0.216481,0.302406,0.024299,-0.284142,-0.746405,0.601292,-0.126851,-0.214535,0.292230
1779153049426.806,1,0,0,-0.056977,0.284990,0.306097,0.722802,0.194255,-0.142909,0.647610,-0.068381,0.279185,0.314712,1,0,1,-0.125199,-0.216563,0.302300,0.009814,-0.283541,-0.742568,0.606713,-0.135515,-0.210873,0.298623
1779153049460.140,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.124904,-0.216621,0.302162,-0.004674,-0.282867,-0.738542,0.611981,-0.130292,-0.212603,0.293254
1779153049493.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,-0.124506,-0.216658,0.301995,-0.019160,-0.282121,-0.734328,0.617093,-0.135024,-0.210947,0.297362
1779153049526.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,-0.124011,-0.216675,0.301801,-0.033642,-0.281303,-0.729927,0.622048,-0.123418,-0.212979,0.290324
1779153049560.140,1,0,0,-0.056183,0.282188,0.306397,0.734415,0.183901,-0.140155,0.638100,-0.066266,0.277897,0.317401,1,0,1,-0.123427,-0.216671,0.301582,-0.048115,-0.280414,-0.725340,0.626845,-0.133553,-0.210844,0.296783
1779153049593.473,1,0,0,-0.055939,0.281469,0.306576,0.737280,0.181302,-0.139459,0.635688,-0.065780,0.277976,0.316925,1,0,1,-0.122764,-0.216649,0.301341,-0.062576,-0.279453,-0.720570,0.631482,-0.131364,-0.210400,0.296161
1779153049626.806,1,0,0,-0.055677,0.280744,0.306802,0.740128,0.178700,-0.138760,0.633263,-0.065286,0.277735,0.317485,1,0,0,-0.122034,-0.216611,0.301082,-0.077021,-0.278422,-0.715615,0.635959,-0.083782,-0.195641,0.276518
1779153049660.140,1,0,0,-0.055394,0.280014,0.307075,0.742962,0.176094,-0.138058,0.630824,-0.065465,0.277926,0.318338,1,0,1,-0.121249,-0.216559,0.300808,-0.091447,-0.277319,-0.710479,0.640274,-0.130062,-0.209512,0.294819
1779153049693.473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049726.806,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779153049760.140,1,0,0,-0.054422,0.277800,0.308205,0.751366,0.168253,-0.135935,0.623428,-0.062843,0.280258,0.320004,1,1,0,-0.118691,-0.216331,0.299942,-0.134569,-0.273590,-0.693992,0.652238,-0.130924,-0.211445,0.293735
1779153049793.473,1,0,0,-0.054054,0.277056,0.308692,0.754135,0.165633,-0.135221,0.620936,-0.061723,0.281673,0.320353,1,1,1,-0.117816,-0.216239,0.299653,-0.148879,-0.272208,-0.688142,0.655895,-0.130487,-0.211585,0.293933
1779153049826.806,1,0,0,-0.053663,0.276311,0.309238,0.756888,0.163008,-0.134505,0.618431,-0.058355,0.282178,0.319839,1,0,1,-0.116956,-0.216142,0.299371,-0.163152,-0.270756,-0.682116,0.659386,-0.129492,-0.213279,0.292997
1779153049860.140,1,0,0,-0.053248,0.275565,0.309844,0.759626,0.160381,-0.133786,0.615912,-0.056226,0.281831,0.320347,1,0,1,-0.116130,-0.216044,0.299102,-0.177383,-0.269235,-0.675917,0.662709,-0.127764,-0.213154,0.292905
1779153049893.473,1,0,0,-0.052809,0.274819,0.310513,0.762347,0.157749,-0.133064,0.613381,-0.055410,0.280992,0.321058,1,0,1,-0.115357,-0.215946,0.298854,-0.191569,-0.267646,-0.669546,0.665864,-0.125399,-0.213594,0.292679
