ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779152941951.925,1,0,0,0.078463,0.128780,0.178412,0.558887,0.252629,-0.134491,0.778290,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152941985.258,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942018.592,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942051.925,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942085.258,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,-0.000553,-0.246913,0.260387,0.787946,-0.452540,-0.413170,0.060324
1779152942118.592,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-1,-0.001652,-0.246755,0.256103,0.804235,-0.469640,-0.355721,-0.078150
1779152942151.925,1,0,0,0.072330,0.127207,0.179660,0.517679,0.268354,-0.208899,0.785083,1,1,1,-0.002752,-0.246597,0.251819,0.801999,-0.475923,-0.290080,-0.214822
1779152942185.258,1,0,0,0.075103,0.128633,0.181546,0.505260,0.281961,-0.250295,0.776249,1,1,0,-0.003851,-0.246438,0.247534,0.781291,-0.471244,-0.217758,-0.346547
1779152942218.592,1,0,0,0.072840,0.127924,0.180098,0.524962,0.269025,-0.225388,0.775397,1,1,0,-0.007695,-0.248045,0.256265,0.800018,-0.456705,-0.217571,-0.322575
1779152942251.925,1,0,0,0.076325,0.126265,0.181319,0.601226,0.237819,-0.177764,0.741869,1,1,0,-0.011996,-0.249947,0.267168,0.824427,-0.440063,-0.229231,-0.272246
1779152942285.258,1,0,0,0.079642,0.126293,0.181499,0.586360,0.236843,-0.203294,0.747502,1,1,0,-0.016298,-0.251848,0.278071,0.845916,-0.421863,-0.240080,-0.220952
1779152942318.592,1,0,0,0.075852,0.124130,0.181412,0.544554,0.265582,-0.270899,0.748025,1,0,0,-0.005290,-0.248445,0.256605,0.801999,-0.395621,-0.239479,-0.378064
1779152942351.925,1,0,0,0.078990,0.126758,0.181345,0.615664,0.231442,-0.189838,0.728940,1,0,0,-0.006367,-0.244001,0.248500,0.720966,-0.375609,-0.306555,-0.495126
1779152942385.258,1,0,0,0.078180,0.126805,0.181053,0.587176,0.243695,-0.216394,0.740953,1,1,-1,-0.007693,-0.242630,0.249249,-0.707283,0.347398,0.332224,0.518356
1779152942418.592,1,0,0,0.080237,0.128485,0.181923,0.562454,0.253502,-0.232533,0.751871,1,1,0,-0.008606,-0.241809,0.250983,-0.706673,0.317676,0.348471,0.527506
1779152942451.925,1,0,0,0.080866,0.127912,0.182356,0.561743,0.243359,-0.225574,0.757850,1,0,0,-0.011715,-0.248097,0.268404,-0.737987,0.400289,0.234873,0.489876
1779152942485.258,1,0,0,0.079645,0.125121,0.183359,0.709470,0.197630,-0.159329,0.657426,1,0,0,0.005374,-0.233919,0.244973,0.701706,-0.327055,-0.342107,-0.532548
1779152942518.592,1,0,0,0.080194,0.120529,0.184269,0.810003,0.150425,-0.129359,0.551846,1,0,1,0.010543,-0.240636,0.299530,-0.443933,-0.595518,-0.405179,0.533022
1779152942551.925,1,0,0,0.077378,0.116606,0.184515,0.857420,0.141750,-0.104589,0.483529,1,1,-1,0.000665,-0.246713,0.296068,0.687413,0.324164,0.305710,-0.573518
1779152942585.258,1,0,0,0.076942,0.115392,0.185807,0.885761,0.110520,-0.082888,0.443106,1,1,0,-0.011536,-0.251756,0.278297,-0.829792,0.262168,0.081264,0.485912
1779152942618.592,1,0,0,0.077478,0.113120,0.186079,0.911232,0.097545,-0.078721,0.392358,1,0,1,0.005460,-0.240787,0.306032,0.481461,0.541905,0.442577,-0.527883
1779152942651.925,1,0,0,0.078728,0.112902,0.184926,0.929320,0.080052,-0.079222,0.351681,1,0,0,0.014446,-0.235112,0.248404,0.736033,-0.146096,-0.158914,-0.641606
1779152942685.258,1,0,0,0.079683,0.113248,0.185290,0.950541,0.058148,-0.077482,0.295106,1,1,0,-0.001699,-0.241752,0.250384,-0.711850,0.301967,0.320427,0.547186
1779152942718.592,1,0,0,0.079468,0.112559,0.186363,0.968306,0.047669,-0.059530,0.237841,1,1,0,-0.022442,-0.250573,0.268574,-0.728379,0.265614,0.340811,0.531753
1779152942751.925,1,0,0,0.080335,0.112321,0.185735,0.972414,0.047292,-0.064249,0.219194,1,0,0,-0.014680,-0.252570,0.268194,-0.722519,0.401283,0.213232,0.521029
1779152942785.258,1,0,0,0.080488,0.114967,0.186214,0.975884,0.036648,-0.062222,0.206000,1,0,1,0.008385,-0.241993,0.305419,-0.441999,-0.540700,-0.452079,0.554891
1779152942818.592,1,0,0,0.082220,0.115519,0.187498,0.984808,0.026402,-0.040953,0.166672,1,1,-1,0.009836,-0.242279,0.292217,0.678587,0.343786,0.269101,-0.590691
1779152942851.925,1,0,0,0.080377,0.114562,0.186855,0.976449,0.041219,-0.051332,0.205461,1,1,0,0.006072,-0.245497,0.265890,-0.828416,0.241959,0.172551,0.474772
1779152942885.258,1,0,0,0.080752,0.116130,0.186458,0.976290,0.043232,-0.061364,0.203036,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942918.592,1,0,0,0.078902,0.116526,0.186246,0.964497,0.034824,-0.075849,0.250560,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942951.925,1,0,0,0.080046,0.116955,0.186563,0.950193,0.044361,-0.078783,0.298259,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942985.258,1,0,0,0.080490,0.119569,0.186586,0.962790,0.032955,-0.072739,0.258182,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943018.592,1,0,0,0.080517,0.119976,0.186301,0.944757,0.042939,-0.067171,0.317928,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943051.925,1,0,0,0.081036,0.120927,0.186565,0.958176,0.026255,-0.080549,0.273352,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943085.258,1,0,0,0.081809,0.122634,0.186011,0.962575,0.015558,-0.076542,0.259516,1,1,-1,0.015579,-0.233784,0.297802,0.838626,-0.367390,-0.378224,0.136669
1779152943118.592,1,0,0,0.083164,0.124227,0.186240,0.965010,0.020135,-0.065556,0.253088,1,1,-1,0.017078,-0.231977,0.303205,0.820164,-0.360171,-0.386985,0.218746
1779152943151.925,1,0,0,0.082969,0.124969,0.186348,0.963866,0.031108,-0.060746,0.257496,1,1,-1,0.018576,-0.230170,0.308608,0.795793,-0.350357,-0.392957,0.299245
1779152943185.258,1,0,0,0.081173,0.123010,0.187714,0.963650,0.023563,-0.052053,0.260987,1,1,-1,0.020074,-0.228364,0.314011,0.765687,-0.338018,-0.396098,0.377588
1779152943218.592,1,0,0,0.082133,0.120174,0.194204,0.950944,0.018001,-0.049309,0.304879,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943251.925,1,0,0,0.089194,0.122805,0.205884,0.924220,0.021829,-0.045609,0.378497,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943285.258,1,0,0,0.098148,0.130615,0.214857,0.914299,0.029267,-0.039251,0.402069,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943318.592,1,0,0,0.097197,0.129142,0.213720,0.926323,0.019686,-0.050333,0.372834,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943351.925,1,0,0,0.095669,0.126935,0.211811,0.938854,0.015011,-0.052213,0.340001,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943385.258,1,0,0,0.089876,0.123239,0.204544,0.940586,0.023002,-0.060867,0.333263,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943418.592,1,0,0,0.084750,0.119624,0.197627,0.953714,0.025966,-0.065552,0.292333,1,0,0,0.012368,-0.241366,0.318764,0.774540,-0.093226,-0.438518,0.446204
1779152943451.925,1,0,0,0.085200,0.120999,0.197480,0.959712,0.027580,-0.061719,0.272734,1,0,1,-0.000545,-0.210720,0.348443,0.160363,-0.729544,-0.454822,0.484960
1779152943485.258,1,0,0,0.085498,0.123930,0.197512,0.961728,0.028351,-0.060399,0.265757,1,0,1,0.000318,-0.200372,0.360126,0.078229,0.830231,0.352636,-0.424551
1779152943518.592,1,0,0,0.085945,0.126666,0.197686,0.975245,0.027478,-0.040487,0.215644,1,0,1,0.002129,-0.199979,0.360310,0.117309,0.805195,0.359571,-0.456737
1779152943551.925,1,0,0,0.084342,0.125536,0.196693,0.984259,0.024877,-0.023611,0.173374,1,0,1,0.000842,-0.199193,0.360982,0.097234,0.803706,0.363819,-0.460692
1779152943585.258,1,0,0,0.083018,0.125046,0.196122,0.987137,0.017780,-0.022606,0.157269,1,0,1,0.067410,-0.168415,0.333066,0.115468,0.799274,0.402780,-0.430809
1779152943618.592,1,0,0,0.084260,0.125876,0.196559,0.981256,0.015092,-0.039436,0.188028,1,0,1,0.083232,-0.159983,0.325767,0.115259,0.813321,0.396751,-0.409650
1779152943651.925,1,0,0,0.084923,0.127099,0.197276,0.957532,0.029843,-0.071474,0.277729,1,1,1,0.053412,-0.176544,0.337845,0.083232,0.830068,0.377046,-0.402364
1779152943685.258,1,0,0,0.084902,0.128523,0.197503,0.939383,0.038199,-0.084357,0.330128,1,1,1,0.016281,-0.197793,0.353118,0.044834,0.844052,0.357554,-0.397141
1779152943718.592,1,0,0,0.083628,0.126877,0.196119,0.944395,0.026997,-0.081466,0.317416,1,0,1,0.010087,-0.203524,0.355202,0.066035,0.831562,0.378534,-0.401069
1779152943751.925,1,0,0,0.082482,0.126381,0.195114,0.940766,0.023834,-0.085913,0.327124,1,0,1,0.006690,-0.203143,0.355927,0.032105,0.829286,0.382694,-0.405955
1779152943785.258,1,0,0,0.083115,0.128409,0.195787,0.937004,0.022447,-0.088481,0.337181,1,0,1,0.006881,-0.204613,0.356963,0.028476,0.843513,0.366937,-0.391192
1779152943818.592,1,0,0,0.085096,0.131975,0.197028,0.946689,0.020489,-0.083738,0.310401,1,0,0,0.010226,-0.210961,0.354777,-0.215455,0.488270,0.304157,-0.789088
1779152943851.925,1,0,0,0.088243,0.135924,0.197534,0.946815,0.029079,-0.086068,0.308687,1,0,1,0.009599,-0.207888,0.357765,0.070276,-0.759314,-0.403598,0.505581
1779152943885.258,1,0,0,0.088523,0.138105,0.198567,0.933774,0.035822,-0.097064,0.342582,1,0,1,0.006144,-0.205831,0.359635,0.004313,0.851673,0.375173,-0.365896
1779152943918.592,1,0,0,0.089861,0.140365,0.198166,0.913822,0.046270,-0.094424,0.392267,1,0,1,0.005558,-0.206655,0.360347,-0.018658,0.851426,0.399980,-0.338735
1779152943951.925,1,0,0,0.092612,0.143430,0.197463,0.908375,0.053506,-0.086966,0.405498,1,0,1,0.000869,-0.206060,0.361401,-0.012283,0.840184,0.413158,-0.351056
1779152943985.258,1,0,0,0.091906,0.145855,0.198185,0.910803,0.058528,-0.092150,0.398147,1,0,1,0.001044,-0.203973,0.363544,-0.004831,0.840065,0.415139,-0.349181
1779152944018.592,1,0,0,0.092286,0.146608,0.198825,0.909072,0.060138,-0.096878,0.400731,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152944051.925,1,0,0,0.091654,0.146501,0.199595,0.912971,0.056178,-0.099910,0.391594,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152944085.258,1,0,0,0.090917,0.147031,0.199763,0.915888,0.059508,-0.110996,0.381166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152944118.592,1,0,0,0.091230,0.146683,0.199829,0.919461,0.062485,-0.108643,0.372671,1,1,-1,-0.001272,-0.207790,0.354244,0.237671,0.770701,0.300237,-0.509304
1779152944151.925,1,0,0,0.088796,0.145237,0.199529,0.912077,0.070861,-0.089526,0.393802,1,1,-1,-0.002022,-0.208952,0.351621,-0.298690,-0.738190,-0.263816,0.544299
