ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779152941951.925,1,0,0,0.075027,0.116554,0.168053,0.558887,0.252629,-0.134491,0.778290,0.078463,0.128780,0.178412,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152941985.258,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942018.592,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942051.925,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942085.258,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0.005449,-0.250463,0.264335,0.787946,-0.452540,-0.413170,0.060324,-0.000553,-0.246913,0.260387
1779152942118.592,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-1,0.003280,-0.255998,0.258161,0.797229,-0.440243,-0.410472,0.046087,-0.001652,-0.246755,0.256103
1779152942151.925,1,0,0,0.076458,0.118433,0.173824,0.571523,0.244604,-0.134015,0.771732,0.072330,0.127207,0.179660,1,1,1,0.001353,-0.257824,0.257538,0.806156,-0.427750,-0.407590,0.031830,-0.002752,-0.246597,0.251819
1779152942185.258,1,0,0,0.076687,0.118744,0.174735,0.573614,0.243260,-0.133932,0.770619,0.075103,0.128633,0.181546,1,1,0,-0.000279,-0.257294,0.260273,0.814722,-0.415065,-0.404526,0.017559,-0.003851,-0.246438,0.247534
1779152942218.592,1,0,0,0.076913,0.119053,0.175631,0.575701,0.241914,-0.133848,0.769500,0.072840,0.127924,0.180098,1,1,0,-0.001560,-0.255760,0.264178,0.822923,-0.402194,-0.401282,0.003280,-0.007695,-0.248045,0.256265
1779152942251.925,1,0,0,0.077136,0.119361,0.176513,0.577784,0.240566,-0.133764,0.768376,0.076325,0.126265,0.181319,1,1,0,-0.002436,-0.254434,0.267285,0.830756,-0.389144,-0.397857,-0.011001,-0.011996,-0.249947,0.267168
1779152942285.258,1,0,0,0.077356,0.119668,0.177380,0.579862,0.239217,-0.133678,0.767245,0.079642,0.126293,0.181499,1,1,0,-0.002853,-0.253959,0.268517,0.838218,-0.375919,-0.394255,-0.025277,-0.016298,-0.251848,0.278071
1779152942318.592,1,0,0,0.077573,0.119974,0.178232,0.581936,0.237866,-0.133591,0.766109,0.075852,0.124130,0.181412,1,0,0,-0.002756,-0.254839,0.267021,0.845304,-0.362526,-0.390477,-0.039541,-0.005290,-0.248445,0.256605
1779152942351.925,1,0,0,0.077788,0.120278,0.179071,0.584006,0.236513,-0.133503,0.764968,0.078990,0.126758,0.181345,1,0,0,-0.002128,-0.257120,0.262703,0.852013,-0.348971,-0.386523,-0.053788,-0.006367,-0.244001,0.248500
1779152942385.258,1,0,0,0.077999,0.120581,0.179894,0.586071,0.235158,-0.133414,0.763820,0.078180,0.126805,0.181053,1,1,-1,-0.001101,-0.259024,0.258512,0.858340,-0.335260,-0.382397,-0.068010,-0.007693,-0.242630,0.249249
1779152942418.592,1,0,0,0.078208,0.120882,0.180704,0.588132,0.233802,-0.133325,0.762667,0.080237,0.128485,0.181923,1,1,0,0.000155,-0.258319,0.258157,0.864283,-0.321399,-0.378100,-0.082203,-0.008606,-0.241809,0.250983
1779152942451.925,1,0,0,0.078414,0.121181,0.181499,0.590189,0.232444,-0.133234,0.761509,0.080866,0.127912,0.182356,1,0,0,0.001468,-0.253586,0.264067,0.869840,-0.307394,-0.373633,-0.096358,-0.011715,-0.248097,0.268404
1779152942485.258,1,0,0,0.078616,0.121479,0.182280,0.592242,0.231084,-0.133142,0.760344,0.079645,0.125121,0.183359,1,0,0,0.002669,-0.246659,0.273556,0.875008,-0.293252,-0.369000,-0.110471,0.005374,-0.233919,0.244973
1779152942518.592,1,0,0,0.078816,0.121774,0.183047,0.594289,0.229722,-0.133049,0.759174,0.080194,0.120529,0.184269,1,0,1,0.003588,-0.240189,0.282657,0.879784,-0.278978,-0.364201,-0.124534,0.010543,-0.240636,0.299530
1779152942551.925,1,0,0,0.079013,0.122068,0.183799,0.596333,0.228359,-0.132955,0.757999,0.077378,0.116606,0.184515,1,1,-1,0.004032,-0.236518,0.287911,0.884167,-0.264580,-0.359240,-0.138541,0.000665,-0.246713,0.296068
1779152942585.258,1,0,0,0.079207,0.122359,0.184538,0.598372,0.226994,-0.132861,0.756817,0.076942,0.115392,0.185807,1,1,0,0.003717,-0.236621,0.288114,0.888154,-0.250063,-0.354118,-0.152486,-0.011536,-0.251756,0.278297
1779152942618.592,1,0,0,0.079398,0.122648,0.185262,0.600407,0.225627,-0.132765,0.755631,0.077478,0.113120,0.186079,1,0,1,0.002338,-0.241168,0.282574,0.891744,-0.235435,-0.348837,-0.166363,0.005460,-0.240787,0.306032
1779152942651.925,1,0,0,0.079586,0.122935,0.185972,0.602437,0.224259,-0.132668,0.754438,0.078728,0.112902,0.184926,1,0,0,-0.000135,-0.250876,0.270195,0.894935,-0.220701,-0.343400,-0.180166,0.014446,-0.235112,0.248404
1779152942685.258,1,0,0,0.079771,0.123219,0.186669,0.604463,0.222889,-0.132571,0.753240,0.079683,0.113248,0.185290,1,1,0,-0.002625,-0.258309,0.261413,0.897725,-0.205868,-0.337810,-0.193888,-0.001699,-0.241752,0.250384
1779152942718.592,1,0,0,0.079952,0.123501,0.187351,0.606484,0.221517,-0.132472,0.752036,0.079468,0.112559,0.186363,1,1,0,-0.003778,-0.255948,0.266470,0.900114,-0.190943,-0.332068,-0.207523,-0.022442,-0.250573,0.268574
1779152942751.925,1,0,0,0.080131,0.123780,0.188019,0.608501,0.220144,-0.132372,0.750827,0.080335,0.112321,0.185735,1,0,0,-0.002662,-0.246223,0.280457,0.902100,-0.175933,-0.326179,-0.221066,-0.014680,-0.252570,0.268194
1779152942785.258,1,0,0,0.080307,0.124057,0.188674,0.610513,0.218769,-0.132272,0.749612,0.080488,0.114967,0.186214,1,0,1,-0.000019,-0.239242,0.288351,0.903683,-0.160845,-0.320143,-0.234509,0.008385,-0.241993,0.305419
1779152942818.592,1,0,0,0.080479,0.124331,0.189314,0.612521,0.217393,-0.132170,0.748392,0.082220,0.115519,0.187498,1,1,-1,0.002987,-0.240627,0.282669,0.904862,-0.145684,-0.313964,-0.247848,0.009836,-0.242279,0.292217
1779152942851.925,1,0,0,0.080649,0.124601,0.189941,0.614524,0.216014,-0.132067,0.747166,0.080377,0.114562,0.186855,1,1,0,0.005409,-0.242784,0.276454,0.905635,-0.130458,-0.307644,-0.261076,0.006072,-0.245497,0.265890
1779152942885.258,1,0,0,0.080815,0.124869,0.190554,0.616522,0.214635,-0.131964,0.745934,0.080752,0.116130,0.186458,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942918.592,1,0,0,0.080979,0.125134,0.191153,0.618516,0.213253,-0.131859,0.744697,0.078902,0.116526,0.186246,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942951.925,1,0,0,0.081139,0.125396,0.191738,0.620506,0.211870,-0.131754,0.743455,0.080046,0.116955,0.186563,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152942985.258,1,0,0,0.081296,0.125654,0.192310,0.622491,0.210486,-0.131647,0.742206,0.080490,0.119569,0.186586,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943018.592,1,0,0,0.081450,0.125909,0.192868,0.624471,0.209100,-0.131540,0.740953,0.080517,0.119976,0.186301,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943051.925,1,0,0,0.081601,0.126160,0.193413,0.626446,0.207712,-0.131431,0.739694,0.081036,0.120927,0.186565,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943085.258,1,0,0,0.081748,0.126408,0.193943,0.628417,0.206323,-0.131322,0.738429,0.081809,0.122634,0.186011,1,1,-1,0.010595,-0.228678,0.292584,0.899711,-0.022627,-0.259720,-0.350076,0.015579,-0.233784,0.297802
1779152943118.592,1,0,0,0.081893,0.126652,0.194461,0.630383,0.204932,-0.131211,0.737159,0.083164,0.124227,0.186240,1,1,-1,0.011168,-0.224421,0.298607,0.897250,-0.007126,-0.252383,-0.362208,0.017078,-0.231977,0.303205
1779152943151.925,1,0,0,0.082034,0.126893,0.194965,0.632345,0.203540,-0.131100,0.735883,0.082969,0.124969,0.186348,1,1,-1,0.012020,-0.220385,0.303959,0.894387,0.008377,-0.244934,-0.374179,0.018576,-0.230170,0.308608
1779152943185.258,1,0,0,0.082172,0.127129,0.195455,0.634302,0.202146,-0.130987,0.734602,0.081173,0.123010,0.187714,1,1,-1,0.012981,-0.218227,0.306231,0.891123,0.023877,-0.237375,-0.385982,0.020074,-0.228364,0.314011
1779152943218.592,1,0,0,0.082306,0.127362,0.195932,0.636254,0.200751,-0.130874,0.733316,0.082133,0.120174,0.194204,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943251.925,1,0,0,0.082438,0.127590,0.196396,0.638201,0.199354,-0.130760,0.732024,0.089194,0.122805,0.205884,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943285.258,1,0,0,0.082566,0.127814,0.196846,0.640144,0.197956,-0.130644,0.730727,0.098148,0.130615,0.214857,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943318.592,1,0,0,0.082691,0.128034,0.197283,0.642082,0.196556,-0.130528,0.729424,0.097197,0.129142,0.213720,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943351.925,1,0,0,0.082812,0.128250,0.197707,0.644015,0.195155,-0.130411,0.728116,0.095669,0.126935,0.211811,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943385.258,1,0,0,0.082930,0.128461,0.198118,0.645943,0.193752,-0.130293,0.726802,0.089876,0.123239,0.204544,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779152943418.592,1,0,0,0.083045,0.128668,0.198515,0.647867,0.192348,-0.130173,0.725483,0.084750,0.119624,0.197627,1,0,0,0.003670,-0.220808,0.313030,0.857223,0.131689,-0.181685,-0.463483,0.012368,-0.241366,0.318764
1779152943451.925,1,0,0,0.083157,0.128870,0.198899,0.649786,0.190943,-0.130053,0.724159,0.085200,0.120999,0.197480,1,0,1,-0.002679,-0.208824,0.339272,0.850827,0.146910,-0.173376,-0.473764,-0.000545,-0.210720,0.348443
1779152943485.258,1,0,0,0.083265,0.129067,0.199270,0.651700,0.189536,-0.129932,0.722829,0.085498,0.123930,0.197512,1,0,1,-0.009185,-0.201988,0.357604,0.844049,0.162065,-0.164988,-0.483833,0.000318,-0.200372,0.360126
1779152943518.592,1,0,0,0.083370,0.129260,0.199628,0.653609,0.188128,-0.129810,0.721494,0.085945,0.126666,0.197686,1,0,1,-0.007170,-0.197445,0.362395,0.836895,0.177148,-0.156527,-0.493685,0.002129,-0.199979,0.360310
1779152943551.925,1,0,0,0.083472,0.129447,0.199973,0.655513,0.186718,-0.129687,0.720153,0.084342,0.125536,0.196693,1,0,1,0.013824,-0.187751,0.353160,0.829366,0.192151,-0.147996,-0.503317,0.000842,-0.199193,0.360982
1779152943585.258,1,0,0,0.083570,0.129629,0.200305,0.657412,0.185307,-0.129563,0.718807,0.083018,0.125046,0.196122,1,0,1,0.056441,-0.167134,0.335886,0.821466,0.207069,-0.139398,-0.512723,0.067410,-0.168415,0.333066
1779152943618.592,1,0,0,0.083664,0.129807,0.200624,0.659307,0.183894,-0.129438,0.717456,0.084260,0.125876,0.196559,1,0,1,0.082922,-0.154517,0.324848,0.813198,0.221894,-0.130739,-0.521900,0.083232,-0.159983,0.325767
1779152943651.925,1,0,0,0.083756,0.129979,0.200931,0.661196,0.182480,-0.129312,0.716100,0.084923,0.127099,0.197276,1,1,1,0.047181,-0.174279,0.335449,0.804567,0.236619,-0.122020,-0.530844,0.053412,-0.176544,0.337845
1779152943685.258,1,0,0,0.083844,0.130146,0.201224,0.663081,0.181065,-0.129185,0.714738,0.084902,0.128523,0.197503,1,1,1,0.016135,-0.191138,0.345141,0.795575,0.251239,-0.113247,-0.539550,0.016281,-0.197793,0.353118
