ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779403617647.268,1,0,0,-0.075949,0.204081,0.149930,0.633548,0.028556,-0.072793,0.769740,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617680.601,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617713.935,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617747.268,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617780.601,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617813.935,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617847.268,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617880.601,1,0,0,-0.071637,0.207327,0.154396,0.704148,0.086520,-0.094331,0.698421,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617913.935,1,0,0,-0.065044,0.206871,0.156315,0.685161,-0.133645,0.150298,0.700074,1,0,1,-0.137311,-0.236021,0.220265,0.000144,0.726422,0.578521,0.370974
1779403617947.268,1,0,0,-0.060499,0.208257,0.151162,0.898906,-0.372207,-0.035897,0.228343,1,1,1,-0.137491,-0.235996,0.220590,0.001201,0.727743,0.577263,0.370345
1779403617980.601,1,0,0,-0.070854,0.207754,0.156107,0.792460,-0.229438,0.065106,0.561362,1,1,1,-0.139296,-0.235745,0.223841,0.011755,0.740734,0.564542,0.363960
1779403618013.935,1,0,0,-0.060724,0.206748,0.155174,0.781795,-0.138939,0.042811,0.606349,1,1,1,-0.141101,-0.235493,0.227092,0.022303,0.753368,0.551548,0.357399
1779403618047.268,1,0,0,-0.074681,0.207083,0.159855,0.687887,-0.100350,0.028865,0.718268,1,1,1,-0.142906,-0.235242,0.230342,0.032840,0.765638,0.538288,0.350666
1779403618080.601,1,0,0,-0.076825,0.207420,0.164484,0.704121,-0.125782,0.026149,0.698361,1,0,1,-0.142740,-0.234959,0.232876,0.038039,0.776954,0.524819,0.345630
1779403618113.935,1,0,0,-0.063895,0.207854,0.156107,0.715511,-0.139768,0.054422,0.682310,1,0,1,-0.128104,-0.234312,0.230271,-0.004574,0.782678,0.505295,0.363417
1779403618147.268,1,1,-1,-0.070033,0.207635,0.157337,0.735037,-0.108198,0.029770,0.668676,1,0,1,-0.137535,-0.233137,0.237141,-0.045083,0.789384,0.443161,0.422432
1779403618180.601,1,1,0,-0.079963,0.207296,0.160686,0.754627,-0.068835,-0.005367,0.652512,1,0,1,-0.136892,-0.233435,0.237331,-0.015193,0.801006,0.474793,0.364321
1779403618213.935,1,0,0,-0.081561,0.208410,0.159982,0.704662,-0.036190,-0.019982,0.708338,1,0,1,-0.135316,-0.233222,0.238349,-0.037353,0.767583,0.507769,0.389346
1779403618247.268,1,0,0,-0.086334,0.209728,0.161890,0.676856,0.043964,-0.054201,0.732800,1,1,1,-0.130923,-0.232066,0.239579,-0.067998,0.765666,0.507279,0.389615
1779403618280.601,1,0,0,-0.084895,0.209730,0.161680,0.639405,0.031517,-0.043765,0.766977,1,1,-1,-0.125648,-0.231645,0.240748,0.004200,0.803710,0.434353,0.406657
1779403618313.935,1,0,0,-0.084275,0.210123,0.160872,0.809681,-0.130891,0.024974,0.571543,1,0,1,-0.122769,-0.231128,0.242977,0.052530,0.826521,0.375227,0.416303
1779403618347.268,1,0,0,-0.081224,0.209317,0.163321,0.809058,-0.122333,0.040161,0.573451,1,0,1,-0.132918,-0.229693,0.251585,-0.020445,0.818644,0.398781,0.412768
1779403618380.601,1,0,0,-0.088022,0.209888,0.168873,0.710943,-0.067563,0.056340,0.697726,1,1,1,-0.119693,-0.227064,0.252895,0.177337,0.869755,0.143206,0.437687
1779403618413.935,1,0,0,-0.076314,0.210132,0.162634,0.853790,-0.244114,0.027490,0.459015,1,1,1,-0.127699,-0.227181,0.256370,0.049690,0.857639,0.298492,0.415798
1779403618447.268,1,0,0,-0.079221,0.208720,0.169728,0.746107,-0.190156,0.133492,0.623976,1,0,1,-0.133556,-0.227480,0.258661,-0.055392,0.818756,0.425066,0.381955
1779403618480.601,1,0,0,-0.080797,0.209857,0.170308,0.720133,-0.029985,0.027365,0.692648,1,0,1,-0.128254,-0.228154,0.255992,0.009618,0.822966,0.429279,0.371960
1779403618513.935,1,0,0,-0.092475,0.209590,0.176152,0.726485,-0.044097,0.035625,0.684840,1,0,1,-0.122352,-0.224664,0.260838,0.216214,0.856040,0.295508,0.364860
1779403618547.268,1,0,0,-0.087068,0.209720,0.173758,0.691575,-0.168221,0.117584,0.692531,1,0,1,-0.096014,-0.219993,0.257657,0.277258,0.864228,0.180812,0.378874
1779403618580.601,1,0,0,-0.089002,0.209670,0.175418,0.674571,-0.004113,-0.008224,0.738153,1,0,1,-0.123235,-0.223151,0.266339,-0.010238,0.822759,0.387040,0.416129
1779403618613.935,1,0,0,-0.093335,0.207826,0.181863,0.762717,-0.079514,0.014262,0.641667,1,0,1,-0.127450,-0.223476,0.267039,-0.010310,0.847850,0.274930,0.453275
1779403618647.268,1,0,0,-0.098825,0.209741,0.180256,0.718898,-0.137094,0.138576,0.667223,1,0,1,-0.126883,-0.224077,0.267792,0.009932,0.880082,0.326857,0.344269
1779403618680.601,1,0,0,-0.098599,0.210850,0.178467,0.563652,-0.167264,0.292532,0.754151,1,1,1,-0.123010,-0.224130,0.270496,0.062026,0.957268,0.213480,0.184977
1779403618713.935,1,0,0,-0.098198,0.207748,0.183282,0.716932,-0.105808,0.070620,0.685439,1,1,-1,-0.126848,-0.222605,0.273939,0.080526,0.878872,0.419571,0.212275
1779403618747.268,1,0,0,-0.099623,0.209572,0.180958,0.639752,-0.159172,0.200619,0.724661,1,1,1,-0.128848,-0.221149,0.277429,0.073515,0.809943,0.527038,0.246615
1779403618780.601,1,0,0,-0.099685,0.210368,0.181917,0.694270,-0.222397,0.154477,0.666832,1,1,1,-0.125635,-0.219891,0.281049,0.002732,0.860813,0.394427,0.321592
1779403618813.935,1,0,0,-0.098403,0.208690,0.180671,0.611655,-0.178469,0.257288,0.726519,1,1,1,-0.124747,-0.218919,0.284567,-0.045777,0.877328,0.304753,0.367866
1779403618847.268,1,0,0,-0.099692,0.208775,0.182014,0.623004,-0.142187,0.197784,0.743323,1,1,-1,-0.129393,-0.218628,0.287838,-0.040623,0.864740,0.342441,0.365113
1779403618880.601,1,0,0,-0.097414,0.207317,0.182692,0.613896,-0.179325,0.288823,0.712430,1,1,1,-0.128755,-0.218173,0.290341,-0.005362,0.856992,0.376794,0.351513
1779403618913.935,1,0,0,-0.096869,0.207817,0.178245,0.563114,-0.136245,0.280458,0.765300,1,1,-1,-0.117626,-0.217394,0.291317,0.089459,0.854862,0.402611,0.314821
1779403618947.268,1,0,0,-0.096877,0.206776,0.179414,0.512636,-0.023877,0.073405,0.855129,1,0,1,-0.116156,-0.217130,0.292533,0.197597,0.837936,0.449956,0.237400
1779403618980.601,1,0,0,-0.098735,0.205657,0.182268,0.616488,-0.129200,0.204741,0.749221,1,0,1,-0.120581,-0.217659,0.294533,0.282447,0.837246,0.427010,0.192108
