ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779403617647.268,1,0,0,-0.058898,0.210538,0.150308,0.633548,0.028556,-0.072793,0.769740,-0.075949,0.204081,0.149930,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617680.601,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617713.935,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617747.268,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617780.601,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617813.935,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617847.268,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617880.601,1,0,0,-0.068539,0.209994,0.157168,0.667882,-0.046796,-0.013569,0.742671,-0.071637,0.207327,0.154396,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779403617913.935,1,0,0,-0.069807,0.209891,0.158061,0.672190,-0.057538,-0.005080,0.738122,-0.065044,0.206871,0.156315,1,0,1,-0.128573,-0.232053,0.215278,0.000144,0.726422,0.578521,0.370974,-0.137311,-0.236021,0.220265
1779403617947.268,1,0,0,-0.071049,0.209782,0.158933,0.676345,-0.068266,0.003409,0.733407,-0.060499,0.208257,0.151162,1,1,1,-0.128538,-0.232142,0.217807,-0.000643,0.736247,0.566647,0.369935,-0.137491,-0.235996,0.220590
1779403617980.601,1,0,0,-0.072264,0.209667,0.159784,0.680347,-0.078980,0.011898,0.728525,-0.070854,0.207754,0.156107,1,1,1,-0.128502,-0.232191,0.220358,-0.001430,0.745894,0.554636,0.368807,-0.139296,-0.235745,0.223841
1779403618013.935,1,0,0,-0.073453,0.209546,0.160614,0.684194,-0.089675,0.020384,0.723478,-0.060724,0.206748,0.155174,1,1,1,-0.128464,-0.232201,0.222930,-0.002217,0.755363,0.542492,0.367591,-0.141101,-0.235493,0.227092
1779403618047.268,1,0,0,-0.074616,0.209419,0.161424,0.687887,-0.100350,0.028865,0.718268,-0.074681,0.207083,0.159855,1,1,1,-0.128425,-0.232173,0.225520,-0.003004,0.764652,0.530219,0.366287,-0.142906,-0.235242,0.230342
1779403618080.601,1,0,0,-0.075753,0.209286,0.162213,0.685298,-0.096769,0.026900,0.721304,-0.076825,0.207420,0.164484,1,0,1,-0.128384,-0.232106,0.228129,-0.003790,0.773757,0.517819,0.364896,-0.142740,-0.234959,0.232876
1779403618113.935,1,0,0,-0.076864,0.209147,0.162981,0.682687,-0.093186,0.024933,0.724316,-0.063895,0.207854,0.156107,1,0,1,-0.128341,-0.232001,0.230753,-0.004574,0.782678,0.505295,0.363417,-0.128104,-0.234312,0.230271
1779403618147.268,1,1,-1,-0.077951,0.209002,0.163729,0.680053,-0.089599,0.022965,0.727305,-0.070033,0.207635,0.157337,1,0,1,-0.128296,-0.231859,0.233392,-0.002974,0.786271,0.501817,0.360484,-0.137535,-0.233137,0.237141
