ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779333500997.499,1,1,-1,0.001172,0.250632,0.365721,0.745257,0.214056,0.615690,0.140350,-0.016988,0.239478,0.333491,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501030.832,1,1,-1,0.000906,0.250300,0.365983,0.755040,0.221434,0.595428,0.162320,-0.016930,0.239759,0.335127,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501064.166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501097.499,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501130.832,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501164.166,1,1,-1,-0.000110,0.248743,0.367108,0.786205,0.248564,0.508385,0.248279,-0.016695,0.240883,0.341667,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501197.499,1,1,0,-0.000352,0.248297,0.367408,0.791963,0.254715,0.485240,0.269177,-0.016636,0.241163,0.343302,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501230.832,1,0,0,-0.000589,0.247829,0.367715,0.796895,0.260601,0.461589,0.289794,-0.015396,0.241521,0.343478,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501264.166,1,0,0,-0.000821,0.247338,0.368029,0.800996,0.266214,0.437456,0.310109,-0.014302,0.240427,0.345387,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501297.499,1,1,-1,-0.001048,0.246824,0.368351,0.804261,0.271550,0.412867,0.330099,-0.009952,0.238818,0.344517,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501330.832,1,1,1,-0.001271,0.246289,0.368679,0.806687,0.276602,0.387847,0.349746,-0.004817,0.237169,0.342885,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501364.166,1,0,0,-0.001489,0.245731,0.369016,0.808271,0.281366,0.362422,0.369028,-0.009779,0.236418,0.349173,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501397.499,1,1,-1,-0.001703,0.245152,0.369359,0.809012,0.285836,0.336619,0.387924,-0.010868,0.235687,0.352218,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501430.832,1,1,-1,-0.001911,0.244551,0.369709,0.808909,0.290008,0.310465,0.406416,-0.010505,0.234910,0.354076,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501464.166,1,1,-1,-0.002115,0.243928,0.370067,0.807961,0.293878,0.283987,0.424484,-0.010142,0.234134,0.355934,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501497.499,1,1,0,-0.002315,0.243283,0.370431,0.806171,0.297440,0.257212,0.442108,-0.009779,0.233358,0.357791,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501530.832,1,0,0,-0.002510,0.242617,0.370803,0.803539,0.300693,0.230169,0.459272,-0.010099,0.234733,0.359840,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501564.166,1,0,0,-0.002701,0.241930,0.371182,0.800069,0.303631,0.202886,0.475956,-0.009453,0.235525,0.360432,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501597.499,1,0,0,-0.002887,0.241222,0.371567,0.795765,0.306253,0.175392,0.492144,-0.008427,0.233346,0.363632,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501630.832,1,0,0,-0.003069,0.240492,0.371960,0.790629,0.308555,0.147714,0.507818,-0.006725,0.232120,0.365077,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501664.166,1,0,0,-0.003247,0.239742,0.372359,0.784669,0.310536,0.119882,0.522962,-0.006713,0.231709,0.367355,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501697.499,1,0,0,-0.003420,0.238971,0.372766,0.777891,0.312192,0.091925,0.537561,-0.006943,0.233086,0.366316,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501730.832,1,0,0,-0.003589,0.238179,0.373179,0.770300,0.313523,0.063872,0.551599,-0.009132,0.231934,0.368257,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501764.166,1,0,0,-0.003753,0.237366,0.373599,0.761906,0.314526,0.035753,0.565061,-0.007523,0.230035,0.368495,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501797.499,1,0,0,-0.003914,0.236533,0.374026,0.752717,0.315201,0.007596,0.577934,-0.007914,0.230562,0.368311,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501830.832,1,0,0,-0.004070,0.235680,0.374459,0.742743,0.315548,-0.020568,0.590203,-0.008141,0.230421,0.370363,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501864.166,1,0,0,-0.004223,0.234806,0.374899,0.731993,0.315565,-0.048712,0.601857,-0.005797,0.231172,0.370645,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501897.499,1,0,0,-0.004371,0.233913,0.375346,0.720480,0.315253,-0.076804,0.612883,-0.005390,0.232625,0.372295,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501930.832,1,0,0,-0.004515,0.232999,0.375800,0.708215,0.314612,-0.104816,0.623269,-0.007602,0.234026,0.374957,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501964.166,1,0,0,-0.004655,0.232065,0.376260,0.695211,0.313642,-0.132719,0.633005,-0.006105,0.233647,0.375687,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501997.499,1,0,0,-0.004791,0.231112,0.376726,0.681482,0.312346,-0.160484,0.642081,-0.005775,0.232798,0.376335,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502030.832,1,0,0,-0.004923,0.230139,0.377200,0.686014,0.314676,-0.159673,0.636293,-0.006154,0.232062,0.377544,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502064.166,1,0,0,-0.005051,0.229147,0.377679,0.690505,0.316987,-0.158853,0.630467,-0.007436,0.233018,0.377799,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502097.499,1,0,0,-0.005175,0.228135,0.378165,0.694954,0.319279,-0.158023,0.624603,-0.006863,0.231168,0.379465,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502130.832,1,0,0,-0.005296,0.227104,0.378658,0.699362,0.321552,-0.157183,0.618701,-0.003535,0.231310,0.379729,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502164.166,1,0,0,-0.005412,0.226053,0.379157,0.703727,0.323805,-0.156334,0.612762,-0.002705,0.231662,0.383699,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502197.499,1,0,0,-0.005525,0.224984,0.379662,0.708051,0.326039,-0.155476,0.606787,-0.002219,0.231757,0.385391,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502230.832,1,0,0,-0.005634,0.223896,0.380174,0.712331,0.328253,-0.154608,0.600774,-0.000650,0.232102,0.388184,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502264.166,1,0,0,-0.005740,0.222789,0.380691,0.716569,0.330448,-0.153731,0.594726,-0.000343,0.231017,0.389077,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502297.499,1,0,0,-0.005842,0.221663,0.381215,0.720764,0.332623,-0.152845,0.588642,-0.001347,0.229817,0.391448,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502330.832,1,0,0,-0.005940,0.220519,0.381746,0.724916,0.334778,-0.151950,0.582523,-0.000738,0.228849,0.391628,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502364.166,1,0,0,-0.006034,0.219357,0.382282,0.729023,0.336912,-0.151045,0.576368,-0.000989,0.228072,0.390941,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502397.499,1,0,0,-0.006125,0.218176,0.382825,0.733087,0.339027,-0.150132,0.570179,-0.000858,0.226230,0.391049,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502430.832,1,1,0,-0.006213,0.216977,0.383374,0.737107,0.341121,-0.149209,0.563956,-0.003834,0.226826,0.391763,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502464.166,1,1,-1,-0.006297,0.215760,0.383929,0.741083,0.343194,-0.148277,0.557698,-0.000627,0.224306,0.390363,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502497.499,1,1,0,-0.006377,0.214525,0.384489,0.745014,0.345247,-0.147337,0.551408,0.002165,0.221738,0.389083,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502530.832,1,1,-1,-0.006455,0.213272,0.385056,0.748900,0.347279,-0.146387,0.545084,0.002242,0.218863,0.388583,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
