ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779333500997.499,1,1,-1,-0.011887,0.237863,0.325673,0.745257,0.214056,0.615690,0.140350,-0.016988,0.239478,0.333491,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501030.832,1,1,-1,-0.011601,0.238043,0.327728,0.756853,0.221607,0.592861,0.163031,-0.016930,0.239759,0.335127,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501064.166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501097.499,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501130.832,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501164.166,1,1,-1,-0.010500,0.238435,0.335703,0.793826,0.249007,0.494563,0.251483,-0.016695,0.240883,0.341667,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501197.499,1,1,0,-0.010235,0.238452,0.337637,0.800659,0.255113,0.468394,0.272891,-0.016636,0.241163,0.343302,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501230.832,1,0,0,-0.009974,0.238437,0.339547,0.806510,0.260906,0.441650,0.293965,-0.015396,0.241521,0.343478,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501264.166,1,0,0,-0.009717,0.238391,0.341433,0.811371,0.266378,0.414364,0.314678,-0.014302,0.240427,0.345387,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501297.499,1,1,-1,-0.009464,0.238314,0.343296,0.815237,0.271524,0.386569,0.335004,-0.009952,0.238818,0.344517,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
