ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779333500997.499,1,0,0,-0.009106,0.239823,0.326226,0.533832,0.352038,0.030408,0.768224,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501030.832,1,0,0,-0.010438,0.241038,0.328049,0.501868,0.416068,-0.074745,0.754606,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501064.166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501097.499,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501130.832,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501164.166,1,0,0,-0.005614,0.242883,0.329747,0.561226,0.386885,-0.044563,0.730315,1,0,1,-0.085744,-0.162647,0.243680,-0.574725,-0.413371,0.693894,0.131610
1779333501197.499,1,1,-1,-0.005298,0.243415,0.331717,0.530206,0.401753,-0.088288,0.741405,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501230.832,1,1,0,-0.005421,0.244050,0.333856,0.484090,0.406459,-0.114545,0.766373,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501264.166,1,0,0,-0.003516,0.242679,0.335409,0.516591,0.388603,-0.052375,0.761169,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501297.499,1,0,0,-0.001188,0.242000,0.335584,0.548613,0.399268,-0.027061,0.734082,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501330.832,1,0,0,0.009368,0.248264,0.318087,0.754554,0.282856,-0.007191,0.592105,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501364.166,1,0,0,0.004393,0.239708,0.332739,0.581502,0.345226,0.026062,0.736203,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501397.499,1,0,0,0.002391,0.239276,0.336756,0.503329,0.403945,-0.060785,0.761442,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501430.832,1,1,-1,0.003265,0.237161,0.339295,0.583407,0.428359,-0.117453,0.679964,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501464.166,1,1,0,0.004421,0.234017,0.342518,0.676591,0.438726,-0.158291,0.569813,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501497.499,1,0,0,-0.000162,0.236933,0.347141,0.655687,0.370545,-0.052372,0.655765,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501530.832,1,0,0,0.002802,0.235181,0.348189,0.577186,0.323038,0.070061,0.746722,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501564.166,1,0,0,-0.003579,0.236263,0.353864,0.532984,0.406046,-0.026478,0.741858,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501597.499,1,0,0,0.003639,0.232275,0.353934,0.537695,0.372535,0.054300,0.754423,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501630.832,1,0,0,-0.002185,0.236327,0.357535,0.553711,0.385331,0.015826,0.738020,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501664.166,1,0,0,0.001612,0.233633,0.358459,0.568408,0.405626,-0.029233,0.715210,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501697.499,1,0,0,-0.000176,0.234288,0.359828,0.552149,0.315167,0.115373,0.763210,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501730.832,1,0,0,-0.001517,0.235846,0.359473,0.561959,0.316502,0.113377,0.755761,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501764.166,1,0,0,0.000261,0.234241,0.359432,0.733188,0.332662,0.002855,0.593096,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501797.499,1,0,0,-0.006589,0.236634,0.360540,0.602921,0.298901,0.168299,0.720291,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501830.832,1,0,0,-0.002701,0.235241,0.362719,0.631315,0.337659,0.031366,0.697455,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501864.166,1,0,0,-0.004555,0.235334,0.364987,0.718460,0.248281,0.051341,0.647716,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501897.499,1,1,-1,-0.003331,0.236596,0.365755,0.612819,0.302378,0.028594,0.729522,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501930.832,1,1,0,-0.001828,0.237932,0.366409,0.476526,0.360179,0.000590,0.801994,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501964.166,1,1,-1,-0.003543,0.237938,0.368312,0.532711,0.340916,-0.006560,0.774566,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501997.499,1,1,-1,-0.005389,0.237889,0.370266,0.594109,0.316830,-0.012817,0.739249,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502030.832,1,1,-1,-0.007236,0.237841,0.372220,0.652159,0.290958,-0.019002,0.699765,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
