ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,pLx_raw,pLy_raw,pLz_raw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw,pRx_raw,pRy_raw,pRz_raw
1779333500997.499,1,0,0,0.001339,0.237785,0.312892,0.533832,0.352038,0.030408,0.768224,-0.009106,0.239823,0.326226,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501030.832,1,0,0,0.001071,0.238302,0.315233,0.536860,0.350260,0.030346,0.766928,-0.010438,0.241038,0.328049,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501064.166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501097.499,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501130.832,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501164.166,1,0,0,0.000046,0.239900,0.324308,0.548895,0.343099,0.030095,0.761638,-0.005614,0.242883,0.329747,1,0,1,-0.088546,-0.190128,0.252119,-0.574725,-0.413371,0.693894,0.131610,-0.085744,-0.162647,0.243680
1779333501197.499,1,1,-1,-0.000199,0.240186,0.326506,0.551885,0.341296,0.030031,0.760288,-0.005298,0.243415,0.331717,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501230.832,1,1,0,-0.000438,0.240427,0.328676,0.554867,0.339489,0.029967,0.758928,-0.005421,0.244050,0.333856,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501264.166,1,0,0,-0.000673,0.240623,0.330818,0.557841,0.337677,0.029902,0.757558,-0.003516,0.242679,0.335409,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501297.499,1,0,0,-0.000903,0.240776,0.332933,0.560807,0.335860,0.029837,0.756177,-0.001188,0.242000,0.335584,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501330.832,1,0,0,-0.001129,0.240887,0.335020,0.563766,0.334038,0.029771,0.754785,0.009368,0.248264,0.318087,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501364.166,1,0,0,-0.001350,0.240955,0.337079,0.566717,0.332212,0.029705,0.753382,0.004393,0.239708,0.332739,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501397.499,1,0,0,-0.001566,0.240980,0.339111,0.569659,0.330381,0.029639,0.751969,0.002391,0.239276,0.336756,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501430.832,1,1,-1,-0.001778,0.240965,0.341117,0.572594,0.328546,0.029572,0.750546,0.003265,0.237161,0.339295,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501464.166,1,1,0,-0.001986,0.240909,0.343095,0.575521,0.326706,0.029505,0.749112,0.004421,0.234017,0.342518,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501497.499,1,0,0,-0.002189,0.240813,0.345046,0.578439,0.324861,0.029437,0.747667,-0.000162,0.236933,0.347141,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501530.832,1,0,0,-0.002387,0.240676,0.346971,0.581350,0.323012,0.029369,0.746212,0.002802,0.235181,0.348189,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501564.166,1,0,0,-0.002581,0.240501,0.348870,0.584252,0.321158,0.029301,0.744747,-0.003579,0.236263,0.353864,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501597.499,1,0,0,-0.002771,0.240287,0.350742,0.587146,0.319300,0.029232,0.743271,0.003639,0.232275,0.353934,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501630.832,1,0,0,-0.002957,0.240035,0.352588,0.590032,0.317438,0.029163,0.741785,-0.002185,0.236327,0.357535,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501664.166,1,0,0,-0.003139,0.239746,0.354408,0.592910,0.315570,0.029093,0.740288,0.001612,0.233633,0.358459,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501697.499,1,0,0,-0.003316,0.239419,0.356202,0.595779,0.313699,0.029023,0.738781,-0.000176,0.234288,0.359828,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501730.832,1,0,0,-0.003489,0.239056,0.357971,0.598640,0.311823,0.028952,0.737264,-0.001517,0.235846,0.359473,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501764.166,1,0,0,-0.003658,0.238658,0.359714,0.601493,0.309943,0.028881,0.735736,0.000261,0.234241,0.359432,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501797.499,1,0,0,-0.003823,0.238223,0.361431,0.604337,0.308058,0.028810,0.734198,-0.006589,0.236634,0.360540,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501830.832,1,0,0,-0.003984,0.237754,0.363124,0.607173,0.306169,0.028738,0.732650,-0.002701,0.235241,0.362719,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501864.166,1,0,0,-0.004141,0.237251,0.364791,0.610000,0.304276,0.028666,0.731091,-0.004555,0.235334,0.364987,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501897.499,1,1,-1,-0.004293,0.236714,0.366434,0.612819,0.302378,0.028594,0.729522,-0.003331,0.236596,0.365755,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501930.832,1,1,0,-0.004442,0.236144,0.368052,0.617772,0.300083,0.028220,0.726299,-0.001828,0.237932,0.366409,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501964.166,1,1,-1,-0.004587,0.235541,0.369645,0.622701,0.297776,0.027846,0.723047,-0.003543,0.237938,0.368312,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501997.499,1,1,-1,-0.004729,0.234907,0.371214,0.627605,0.295457,0.027471,0.719766,-0.005389,0.237889,0.370266,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
